name, hazType,stdXdist,stdSLdist,rangeXdist ,maxSLdist, RT, action
S88,2,19.9,20.2165,67.7926,111.1141,3.71,1
S1,2,20.1364,20.4371,68.5841,111.7116,3.73,1
S59,2,20.1694,20.5259,68.7674,103.9962,4.01,1
S109,3,20.4758,21.3718,70.2084,84.9773,3.83,1
S96,3,20.9757,21.6284,71.9815,98.0918,3.39,1
S80,2,21.0893,21.2975,72.8569,137.5583,3.12,1
S8,2,21.8147,22.161,74.41,110.1468,4.11,3
S62,2,21.8484,22.2963,74.4008,96.1524,4.69,1
S43,2,22.0271,22.517,75.1184,97.1532,4.75,1
S66,0,22.1462,22.0635,76.4039,117.1389,5.09,1
S19,3,22.5326,23.2667,77.3967,96.0173,3.68,3
S94,2,22.8062,23.0977,77.7626,122.1245,3.84,3
S100,0,24.4784,24.4341,84.5523,161.5948,4.19,1
S91,0,25.322,25.2354,87.4386,133.7115,5.08,2
S53,0,27.0345,26.9777,93.2928,143.663,5.06,1
S74,0,28.7401,28.676,99.3659,159.28,4.97,1
S10,1,28.8597,28.8286,99.7272,202.6102,4.15,1
S92,0,28.9096,28.8384,99.8804,146.1006,5.34,1
S31,0,28.9512,28.8759,100.1602,158.6923,5.06,1
S83,0,29.4762,29.4043,101.843,155.6193,5.21,3
S59,0,30.5936,30.5113,105.7237,156.2305,5.35,3
S102,2,30.6027,30.9442,104.7258,123.3128,5.05,1
S22,0,30.6296,30.5638,105.8168,146.4663,5.64,1
S20,0,30.8287,30.7518,106.4232,147.4199,5.65,1
S97,0,31.3876,31.3256,108.3876,152.5735,5.47,1
S3,0,31.5605,31.5004,108.9773,156.6239,5.37,2
S105,0,31.5935,31.5051,109.5608,151.6359,5.53,2
S71,0,31.8013,31.7292,109.7353,146.6778,5.79,3
S34,0,32.1015,32.0412,110.9133,175.2166,4.89,3
S26,0,32.1447,32.0877,111.0828,172.8663,5.03,1
S8,0,32.3845,32.3119,111.8395,166.0503,5.35,3
S95,0,32.4697,32.3967,111.109,127.8656,6.7,1
S58,0,32.817,32.7507,113.2395,163.0839,5.35,1
S52,0,32.8849,32.8085,113.415,148.2883,5.9,3
S87,0,33.3326,33.2388,114.9575,150.3732,5.85,1
S68,0,33.8637,33.7773,116.8981,151.6341,5.91,1
S76,0,33.9124,33.8312,117.1744,163.2737,5.5,1
S72,0,33.9236,33.8555,117.1133,167.7036,5.41,1
S13,0,34.354,34.2859,118.6657,158.4842,5.75,1
S9,0,34.6126,34.5432,119.6234,169.551,5.44,1
S47,0,34.7793,34.7009,119.9791,149.7504,6.11,1
S67,0,35.0405,34.9603,121.0779,178.898,5.32,3
S44,0,35.4405,35.3679,122.3484,158.0631,5.91,1
S49,1,35.5675,35.4739,122.8892,158.2172,6.81,1
S14,1,35.7432,35.6921,123.5641,218.9941,4.89,1
S110,1,35.9712,35.9267,124.4112,194.3937,5.42,1
S30,0,36.1372,36.0411,124.5212,147.0738,6.4,1
S88,0,36.2326,36.1529,125.1848,169.0697,5.77,1
S57,0,36.2454,36.1963,124.6061,140.737,6.76,1
S43,0,36.3093,36.2117,125.1502,149.9438,6.52,2
S12,0,36.3564,36.2818,125.5682,157.2133,6.24,1
S7,1,36.3872,36.3405,125.815,205.5528,5.12,1
S82,0,36.8339,36.7639,127.2889,178.8335,5.59,1
S45,0,36.8399,36.7627,127.2842,175.3243,5.69,3
S107,1,37.8392,37.7624,130.7962,187.2106,6,1
S12,1,38.4911,38.4318,133.0706,197.8287,5.75,1
S110,0,38.5037,38.4329,132.4621,154.6088,6.56,3
S86,1,38.6008,38.5195,133.4638,188.2494,6.13,1
S7,0,38.6337,38.5545,133.1407,165.3036,6.14,3
S102,0,38.7434,38.6393,133.7302,168.3557,6.02,2
S89,0,38.8272,38.7455,134.0905,159.4788,6.29,1
S4,0,38.8414,38.7678,134.1041,164.9494,6.27,1
S73,0,39.0342,38.9602,134.7526,171.5599,6.08,1
S25,0,39.0355,38.9493,134.7287,162.1738,6.39,1
S111,0,39.1096,39.0116,134.9898,161.8884,6.41,3
S50,0,39.3146,39.2372,135.2103,154.2703,6.62,1
S74,1,39.5878,39.5299,136.8148,202.6159,5.78,1
S18,0,39.8271,39.7594,136.9598,155.9135,6.63,1
S81,0,39.8967,39.8299,137.8151,190.1807,5.48,2
S5,0,40.022,39.9423,137.9788,163.6223,6.31,1
S55,0,40.5002,40.4307,139.0094,155.1501,6.76,1
S53,1,40.5744,40.502,140.4822,181.2208,6.52,1
S73,1,40.7396,40.6816,140.8617,206.1666,5.83,1
S101,1,40.7404,40.6895,140.8504,214.7755,5.6,1
S101,0,41.0735,41.001,141.9062,173.1401,6.33,3
S99,1,41.2585,41.2099,142.7117,212.6001,5.67,1
S46,0,41.3532,41.2528,142.7974,171.0352,6.35,3
S28,1,41.45,41.3825,143.3557,180.1023,6.65,3
S103,0,41.5239,41.4289,143.0317,162.7788,6.71,2
S84,0,42.6489,42.5667,147.0024,170.5244,6.49,1
S17,0,42.6635,42.5863,147.0719,170.3784,6.45,1
S29,0,42.9494,42.8662,148.4874,183.272,6.22,3
S42,0,42.9638,42.8859,147.9211,169.8188,6.66,1
S75,0,43.0078,42.9539,148.2636,173.5382,6.43,1
S104,1,43.0412,42.9418,149.1899,184.4777,6.95,1
S52,1,43.0463,42.9684,149.1507,179.0385,7.07,3
S31,1,43.0749,42.9983,149.2026,203.7468,6.25,1
S39,1,43.2941,43.2008,149.776,196.89,6.63,3
S6,1,43.4094,43.3254,149.9745,201.2061,6.48,1
S100,1,43.59,43.4986,150.55,186.9434,6.73,3
S15,0,43.9526,43.8696,150.4528,161.0377,7.05,1
S78,0,43.9645,43.263,148.9105,141.2243,7.97,2
S64,0,43.9815,43.9011,151.3373,169.4866,6.64,3
S83,1,44.2269,44.13,152.6451,191.2558,6.76,3
S38,0,44.2686,44.2853,151.0364,153.6154,7.43,1
S94,1,44.3791,44.2847,153.4016,195.0279,6.69,1
S4,1,44.4104,44.3294,153.512,204.3058,6.46,3
S108,0,44.6891,44.6457,153.6779,168.7565,6.88,1
S37,0,44.8816,44.7869,154.7818,171.343,6.81,2
S54,0,44.8831,44.7868,154.649,170.6761,6.9,2
S11,1,44.9452,44.8422,155.4417,193.7249,7.01,2
S40,0,45.0231,44.945,155.3321,175.9234,6.78,1
S58,1,45.3184,45.2644,156.7002,205.2381,6.43,1
S20,1,45.6815,45.592,157.9739,195.5839,6.91,1
S111,1,45.8385,45.7257,158.4928,197.1513,6.89,2
S21,2,46.0084,30.0279,158.1179,107.467,8.96,2
S91,1,46.029,45.9553,159.1957,208.539,6.54,3
S59,1,46.3776,46.2954,160.4158,204.2494,6.73,1
S29,1,46.5375,46.4632,160.9947,218.6733,6.34,1
S67,1,46.5488,46.4728,161.0504,216.2247,6.34,1
S103,1,46.6092,46.5295,161.238,207.3812,6.68,1
S8,1,46.9095,46.821,162.1503,205.8527,6.7,1
S46,1,47.4223,47.3302,163.9021,216.8974,6.43,3
S61,1,48.0787,47.9988,166.2355,203.3269,6.95,2
S66,1,48.7904,48.699,168.6874,198.2582,7.3,2
S25,1,49.0542,48.9602,169.4569,197.3801,7.31,1
S109,1,49.1492,49.0432,169.9092,211.6814,6.98,1
S71,1,49.3866,49.2927,170.6111,187.5057,7.7,1
S21,1,49.5447,49.4414,171.2594,200.2317,7.53,2
S70,1,49.599,49.4762,171.4041,199.0538,7.53,2
S90,1,49.6201,49.5069,171.3233,194.1764,7.72,3
S24,1,49.684,49.5495,171.2087,184.1533,7.89,2
S96,1,49.8533,49.7835,172.3499,224.2316,6.69,1
