Subject_Num,HazType,Speed,x_dist,y_dist,sl_dist,angle,turn,signal_type,stop,action,RT
S34,0,20.15,-175.04,-7.8,175.22,-177.45,1,1,1,3,4.89
S37,1,19.33,212.71,6.92,212.83,1.86,1,1,0,3,7.36
S37,0,19.63,171.19,7.28,171.34,2.44,1,1,1,2,7.15
S37,3,19.93,86.56,23.6,89.72,15.25,0,0,0,1,2.96
S38,3,16.18,-69.54,21.86,72.9,162.55,0,0,0,1,3.77
S38,2,17.23,-101.79,-19.51,103.64,-169.15,0,0,1,4, NaN
S38,0,17.24,-153.42,-7.77,153.62,-177.1,1,1,1,1,7.43
S39,1,16.58,-196.75,-7.3,196.89,-177.88,1,1,0,1,6.73
S39,3,16.74,-73.66,23.72,77.38,162.15,0,0,0,1,2.43
S39,2,16.82,-98.62,-18.33,100.31,-169.47,0,0,1,1,2.46
S4,2,17.8,105.46,19.28,107.21,10.36,0,0,1,1,3.64
S4,1,17.95,204.2,6.63,204.31,1.86,1,1,0,3,6.98
S4,0,18.21,164.78,7.48,164.95,2.6,1,1,1,1,6.27
S40,1,18.98,214.02,7.11,214.14,1.9,1,1,0,2,7.38
S40,0,19.68,175.75,7.79,175.92,2.54,1,1,1,1,6.78
S40,2,19.72,116.15,19.5,117.78,9.53,0,0,1,1,3.34
S41,1,18.31,206.87,6.63,206.98,1.83,1,1,0,3,7.67
S41,2,19.44,114.26,18.94,115.82,9.41,0,0,1,1,2.74
S41,0,20.01,177.53,7.33,177.68,2.37,1,1,1,1,7.78
S42,1,17.49,199.5,6.95,199.62,2,1,1,0,3,2.14
S42,3,18.24,79.3,24.73,83.07,17.32,0,0,0,4, NaN
S42,0,19.45,169.69,6.71,169.82,2.26,1,1,1,1,6.66
S43,1,15.84,187.78,7.25,187.92,2.21,1,1,0,1,8.08
S43,2,16.12,95.14,19.67,97.15,11.68,0,0,1,1,4.75
S43,0,16.19,149.76,7.48,149.94,2.86,1,1,1,2,7.11
S44,0,17.8,-157.9,-7.24,158.06,-177.37,1,1,1,1,5.91
S44,2,19.03,-111.51,-18.92,113.1,-170.37,0,0,1,1,2.72
S44,3,20.11,-87.44,22.75,90.35,165.41,0,0,0,3,1.85
S45,2,18.71,110.65,19.55,112.37,10.02,0,0,1,1,1.6
S45,0,19.61,175.15,7.8,175.32,2.55,1,1,1,2,5.73
S45,1,23.48,254,6.89,254.1,1.55,1,1,0,2,7.27
S46,0,19.09,170.87,7.4,171.04,2.48,1,1,1,3,6.39
S46,1,19.31,216.79,6.74,216.9,1.78,1,1,0,3,6.43
S46,2,19.57,115.41,18.61,116.9,9.16,0,0,1,1,2.56
S47,0,16.67,-149.55,-7.7,149.75,-177.05,1,1,1,1,6.11
S47,2,17.08,-100.46,-18.89,102.22,-169.35,0,0,1,1,3.36
S47,3,17.1,-73.81,22.24,77.09,163.23,0,0,0,1,2.03
S48,1,22.54,242.33,7.05,242.43,1.67,1,1,0,4, NaN
S48,3,24.41,106.45,24.42,109.21,12.92,0,0,0,1,0.37
S48,0,26.84,223.97,6.72,224.07,1.72,1,1,1,1,5.85
S49,1,12.3,-158.04,-7.4,158.22,-177.32,1,1,0,1,6.81
S49,2,13.04,-76.72,-18.77,78.98,-166.25,0,0,1,1,1.84
S49,3,13.57,-59.98,23.38,64.38,158.71,0,0,0,1,3.28
S5,0,18.59,-163.44,-7.71,163.62,-177.3,1,1,1,1,6.31
S5,2,21.11,-123.87,-19,125.32,-171.28,0,0,1,1,2.69
S5,3,21.35,-92.65,22.91,95.44,166.11,0,0,0,1,1.82
S50,3,15.36,-66.29,22.14,69.89,161.53,0,0,0,1,2.05
S50,0,17.3,-154.06,-7.98,154.27,-177.04,1,1,1,1,6.62
S50,2,17.65,-103.7,-19.06,105.44,-169.59,0,0,1,1,2.63
S51,2,15.82,-92.63,-18.85,94.53,-168.5,0,0,1,1,2.56
S51,3,16.61,-73.45,23.75,77.2,162.08,0,0,0,1,2.07
S52,1,15.23,178.9,7.15,179.04,2.29,1,1,0,3,7.29
S52,0,16.48,148.12,6.99,148.29,2.7,1,1,1,3,6.47
S52,3,17.83,78.08,23.35,81.5,16.65,0,0,0,1,2.27
S53,1,15.4,181.09,6.85,181.22,2.17,1,1,0,1,6.52
S53,0,15.84,143.49,6.99,143.66,2.79,1,1,1,1,5.06
S53,3,16.7,73.16,24.4,77.12,18.45,0,0,0,1,1.36
S54,2,17.49,102.98,19.2,104.76,10.56,0,0,1,1,2.94
S54,1,18.96,211,7.05,211.12,1.91,1,1,0,1,7.38
S54,0,19.04,170.53,7.15,170.68,2.4,1,1,1,2,6.97
S55,0,17.45,-154.96,-7.69,155.15,-177.16,1,1,1,1,6.76
S55,3,17.87,-77.37,22.62,80.61,163.7,0,0,0,1,2.01
S55,2,18.85,-110.87,-18.58,112.41,-170.49,0,0,1,1,2.9
S56,2,19.21,-112.65,-19.26,114.28,-170.3,0,0,1,1,2.71
S56,3,19.93,-87.7,23.32,90.75,165.11,0,0,0,1,3.28
S56,1,19.95,-226.14,-7.41,226.26,-178.12,1,1,0,1,8.18
S57,0,15.41,-140.52,-7.79,140.74,-176.83,1,1,1,1,6.76
S57,3,16.42,-71.15,22.58,74.65,162.39,0,0,0,3,1.69
S57,2,16.45,-97.13,-19.31,99.03,-168.76,0,0,1,1,3.35
S58,0,18.46,162.95,6.57,163.08,2.31,1,1,1,1,5.35
S58,1,18.52,205.13,6.65,205.24,1.86,1,1,0,3,6.43
S58,3,20.17,87.54,24.15,90.81,15.42,0,0,0,1,2.34
S59,0,17.02,156.05,7.51,156.23,2.76,1,1,1,1,5.68
S59,2,17.31,102.23,19.1,104,10.58,0,0,1,1,4.01
S59,1,17.99,204.15,6.46,204.25,1.81,1,1,0,1,6.73
S6,2,16.43,-96.63,-19.2,98.52,-168.76,0,0,1,1,1.7
S6,3,17,-75.27,23.29,78.79,162.81,0,0,0,1,2.6
S6,1,17.1,-201.06,-7.62,201.21,-177.83,1,1,0,1,6.48
S61,1,17.77,203.21,6.99,203.33,1.97,1,1,0,2,6.98
S61,0,18.06,159.85,6.95,160.01,2.49,1,1,1,4, NaN
S61,3,19.13,83.27,24.66,86.84,16.5,0,0,0,1,2.9
S62,2,15.88,94.27,18.95,96.15,11.37,0,0,1,1,4.69
S62,1,16.28,189.58,6.48,189.69,1.96,1,1,0,4, NaN
S62,0,16.56,152.83,7.23,153,2.71,1,1,1,4, NaN
S64,2,18.12,-106.56,-19.32,108.29,-169.72,0,0,1,3,2.5
S64,3,18.9,-82.05,22.72,85.13,164.52,0,0,0,1,1.51
S64,0,19.44,-169.3,-7.99,169.49,-177.3,1,1,1,3,6.8
S65,1,17.25,-202.77,-7.2,202.89,-177.97,1,1,0,2,7.75
S65,2,17.95,-105.39,-18.49,107,-170.05,0,0,1,1,2.04
S65,3,18.63,-82.4,24.35,85.93,163.54,0,0,0,1,3.26
S66,0,12.24,116.93,7.05,117.14,3.45,1,1,1,1,5.09
S66,1,17.21,198.13,7.1,198.26,2.05,1,1,0,2,7.32
S66,3,17.59,76.85,24.8,80.75,17.89,0,0,0,2,2.59
S67,1,19.37,216.1,7.38,216.22,1.96,1,1,0,1,6.34
S67,2,19.89,117.46,19.48,119.07,9.42,0,0,1,1,3.42
S67,0,20.08,178.74,7.48,178.9,2.4,1,1,1,3,5.59
S68,3,16.75,-72.57,22.73,76.05,162.61,0,0,0,1,0.16
S68,0,16.94,-151.43,-7.91,151.63,-177.01,1,1,1,1,5.91
S68,2,18.11,-106.6,-19.11,108.3,-169.84,0,0,1,1,3.67
S7,1,18.54,205.43,7.07,205.55,1.97,1,1,0,1,5.12
S7,0,18.74,165.16,6.91,165.3,2.4,1,1,1,3,6.14
S7,3,19.67,86.25,24.46,89.65,15.83,0,0,0,1,2.7
S70,2,15.87,-93.02,-19.01,94.94,-168.45,0,0,1,1,1.63
S70,3,16.45,-72.3,23.44,76.01,162.04,0,0,0,1,2.36
S70,1,16.71,-198.92,-7.3,199.05,-177.9,1,1,0,2,7.56
S71,1,16.06,187.38,6.96,187.51,2.13,1,1,0,1,7.7
S71,0,16.18,146.52,6.77,146.68,2.65,1,1,1,1,6.01
S71,3,16.31,71.34,24.59,75.46,19.02,0,0,0,1,2.87
S72,1,18.64,208.92,7.09,209.04,1.94,1,1,0,1,7.48
S72,0,19.12,167.56,7,167.7,2.39,1,1,1,1,5.41
S72,3,20.72,90.24,24.56,93.53,15.23,0,0,0,1,1.98
S73,1,18.46,206.06,6.67,206.17,1.85,1,1,0,1,5.83
S73,2,18.47,109.35,19.29,111.04,10,0,0,1,1,3.48
S73,0,19.13,171.4,7.47,171.56,2.49,1,1,1,1,6.08
S74,2,17.31,102.54,19.24,104.32,10.63,0,0,1,1,3.24
S74,0,17.39,159.11,7.39,159.28,2.66,1,1,1,1,4.97
S74,1,17.77,202.51,6.59,202.62,1.86,1,1,0,1,5.78
S75,3,19.15,-82.58,23.08,85.74,164.39,0,0,0,1,1.61
S75,2,19.8,-116.55,-18.72,118.04,-170.87,0,0,1,1,2.8
S75,0,19.97,-173.37,-7.55,173.54,-177.51,1,1,1,1,6.43
S76,0,18.54,-163.11,-7.39,163.27,-177.41,1,1,1,1,5.5
S76,3,18.88,-81.55,22.32,84.55,164.7,0,0,0,1,1.82
S76,2,20.14,-117.93,-19.07,119.46,-170.81,0,0,1,3,2.45
S77,3,19.59,-85.81,23.61,89,164.62,0,0,0,1,3.32
S77,1,20.74,-232.49,-7.57,232.62,-178.13,1,1,0,2,8.1
S77,2,20.87,-121.91,-18.7,123.33,-171.28,0,0,1,1,3.1
S78,2,15.39,-91.05,-18.69,92.95,-168.4,0,0,1,1,3.39
S78,0,15.49,-141.04,-7.23,141.22,-177.07,1,1,1,4, NaN
S78,3,15.55,-67.37,23.06,71.21,161.11,0,0,0,1,3.34
S8,1,18.18,205.74,6.94,205.85,1.93,1,1,0,1,6.7
S8,0,18.31,165.88,7.44,166.05,2.57,1,1,1,1,5.67
S8,2,18.36,108.5,18.95,110.15,9.91,0,0,1,3,4.11
S80,3,20.84,-91.9,23.66,94.9,165.56,0,0,0,3,2.26
