name, hazType, meanXdist, meanYdist, meanAngle, meanSLdist, meanXspeed, meanYspeed, medianXdist, medianYdist, medianAngle, medianSLdist, medianXspeed, medianYspeed, stdXdist, stdYdist, stdAngle, stdSLdist, stdXspeed, stdYspeed, minXdist, minYdist, minAngle, minSLdist, minXspeed, minYspeed, maxXdist, maxYdist, maxAngle, maxSLdist, maxXspeed, maxYspeed, rangeXdist, rangeYdist, rangeAngle, rangeSLdist, rangeXspeed, rangeYspeed, skewXdist, skewYdist, skewAngle, skewSLdist, skewXspeed, skewYspeed, kurtXdist, kurtYdist, kurtAngle, kurtSLdist, kurtXspeed, kurtYspeed, cvXdist, cvYdist, cvAngle, cvSLdist, cvXspeed, cvYspeed, madXdist, madYdist, madAngle, madSLdist, madXspeed, madYspeed, action, RT
S105,1,98.9576,6.6637,0.093,99.2372,16.7756,-0.0006,99.278,7.1314,0.0717,99.5338,16.7112,0.0001,52.2355,1.1874,0.0532,52.1434,0.2558,0.0032,8.8933,2.3559,0.0403,9.2001,16.3411,-0.0188,188.9135,7.6098,0.259,189.0667,17.1083,0.0024,180.0202,5.2539,0.2187,179.8667,0.7672,0.0212,-0.0083,-1.9538,1.1578,-0.0082,0.0854,-4.1596,-1.2044,2.9766,0.3936,-1.2029,-1.6996,17.9659,0.5279,0.1782,0.5728,0.5254,0.0152,-5.3619,67.2023,0.4121,0.038,67.1,0.2815,0.0007,1,7.92
S107,2,71.1245,14.947,0.2073,72.6782,15.9444,0.0002,71.2753,14.9974,0.2075,72.8361,15.9517,0.0002,13.771,2.8349,0.0013,14.0594,0.0976,0.001,47.1155,9.9643,0.2002,48.1576,15.7981,-0.0022,93.8211,19.0376,0.2084,95.7331,16.0683,0.0025,46.7056,9.0733,0.0082,47.5755,0.2702,0.0047,-0.0375,-0.0767,-3.4838,-0.0394,-0.0441,0.0665,-1.2265,-1.2684,12.3172,-1.2287,-1.6377,0.2415,0.1936,0.1897,0.0065,0.1934,0.0061,4.3339,17.8648,3.7454,0.0002,18.253,0.1516,0.0006,1,2.99
S107,1,121.4376,7.0249,0.0646,121.6646,15.7035,0.0002,121.3305,7.0519,0.0585,121.5384,15.7442,0,37.8392,0.1072,0.0226,37.7624,0.1423,0.0008,56.2889,6.6667,0.0366,56.6823,15.4122,-0.0009,187.0851,7.1452,0.1179,187.2106,15.9462,0.0027,130.7962,0.4785,0.0813,130.5283,0.534,0.0036,0.0074,-0.8142,0.6994,0.0086,-0.3816,1.4391,-1.2011,-0.0199,-0.6437,-1.2013,-0.9029,1.726,0.3116,0.0153,0.3499,0.3104,0.0091,3.2164,48.6336,0.1165,0.0231,48.5601,0.147,0.0004,1,6
S108,3,-62.2932,16.173,2.8889,64.3594,19.977,0.0014,-62.463,16.1704,2.8883,64.5222,19.9862,-0.0001,14.085,4.0038,0.0057,14.6389,0.0258,0.0065,-86.0764,9.2838,2.8804,38.9143,19.8944,-0.0077,-37.7906,23.012,2.9007,89.0994,20.0001,0.0146,48.2858,13.7281,0.0203,50.1851,0.1057,0.0223,0.0302,-0.003,0.3123,-0.0282,-1.755,0.7155,-1.2143,-1.2131,-1.0084,-1.2143,1.9745,-0.5047,-0.2261,0.2476,0.002,0.2275,0.0013,4.7525,18.149,5.1851,0.0069,18.8483,0.0096,0.0057,3,2.46
S108,2,-85.5927,-15.014,-2.9677,86.8997,19.7182,-0.0022,-85.7024,-15.092,-2.9673,87.0211,19.7181,-0.0025,17.6406,2.9747,0.0017,17.889,0.0476,0.0018,-115.013,-19.2903,-2.9754,55.8612,19.6337,-0.0049,-55.0025,-9.7572,-2.966,116.6189,19.8039,0.0028,60.0106,9.5331,0.0094,60.7577,0.1702,0.0076,0.0233,0.0918,-2.4955,-0.0255,0.0119,1.0401,-1.2232,-1.2643,6.8467,-1.2248,-1.1868,0.6012,-0.2061,-0.1981,-0.0006,0.2059,0.0024,-0.7999,22.8498,3.9232,0.0011,23.1838,0.061,0.0013,1,3.09
S108,0,-94.8104,-6.5692,-3.0581,95.0679,19.0947,0.0002,-96.5362,-7.2774,-3.0664,96.8101,19.0919,0.0004,44.6891,1.3693,0.0313,44.6457,0.1089,0.0022,-168.5919,-7.4523,-3.0974,14.9969,18.8637,-0.0049,-14.914,-1.5746,-3.0029,168.7565,19.2954,0.0054,153.6779,5.8777,0.0945,153.7596,0.4317,0.0102,0.0886,1.9584,0.4386,-0.0908,-0.0112,-0.1394,-1.2019,2.9278,-1.2416,-1.1988,-0.9412,-0.3877,-0.4714,-0.2084,-0.0102,0.4696,0.0057,9.076,57.3061,0.2115,0.036,57.1822,0.1302,0.0022,1,6.88
S109,2,-94.788,-15.4062,-2.9807,96.032,19.8208,-0.0021,-94.7757,-15.4095,-2.9804,96.0203,19.8248,-0.0059,12.3463,2.1532,0.0016,12.5318,0.0374,0.007,-116.19,-19.0704,-2.9836,74.4592,19.7286,-0.0093,-73.5318,-11.7158,-2.9787,117.7446,19.8806,0.0079,42.6582,7.3546,0.0049,43.2854,0.1521,0.0172,-0.003,0.0035,-0.3221,0.0028,-0.6455,0.4693,-1.1989,-1.2172,-1.2834,-1.1994,-0.2317,-1.573,-0.1303,-0.1398,-0.0005,0.1305,0.0019,-3.3134,15.849,2.7846,0.0021,16.0904,0.0329,0.0046,1,2.15
S109,3,-46.8717,13.373,2.8674,48.7432,18.4836,-0.0006,-46.9907,13.3586,2.8646,48.8526,18.4898,0.0001,20.4758,6.1322,0.0089,21.3718,0.0248,0.0031,-81.5484,2.8964,2.8565,11.704,18.3944,-0.0119,-11.3399,23.8955,2.8915,84.9773,18.5095,0.0027,70.2084,20.9991,0.035,73.2733,0.1151,0.0147,0.0193,0.0048,0.951,-0.0172,-1.7603,-1.482,-1.215,-1.2163,-0.0156,-1.2152,2.8838,1.8658,-0.4368,0.4586,0.0031,0.4385,0.0013,-5.0615,26.4625,7.9247,0.0077,27.6207,0.0172,0.0024,1,3.83
S109,1,-126.3976,-7.2982,-3.0723,126.6495,18.2557,0.0006,-126.3048,-7.3419,-3.0838,126.5163,18.2812,-0.0021,49.1492,0.2412,0.032,49.0432,0.0783,0.0063,-211.5444,-7.6147,-3.1056,42.1283,18.0964,-0.0072,-41.6352,-6.427,-2.9884,211.6814,18.3571,0.016,169.9092,1.1877,0.1172,169.5531,0.2607,0.0232,-0.0044,1.0282,0.9319,0.0062,-0.3845,1.3525,-1.2012,1.0667,-0.266,-1.201,-1.3156,0.5151,-0.3888,-0.0331,-0.0104,0.3872,0.0043,10.6869,63.1229,0.2695,0.0268,62.9318,0.0891,0.0028,1,6.98
S11,3,-44.1953,13.875,2.839,46.3225,16.8829,-0.0004,-44.338,13.8233,2.8394,46.4429,16.8836,-0.0002,18.0099,5.8237,0.004,18.9272,0.0151,0.001,-74.6354,3.9689,2.8309,13.4614,16.8565,-0.0027,-12.863,23.9687,2.8441,78.3896,16.9178,0.0044,61.7723,19.9997,0.0133,64.9282,0.0613,0.007,0.0267,0.0201,-0.4128,-0.0224,0.0326,0.0164,-1.2178,-1.2139,-1.0459,-1.2176,-0.9236,2.2722,-0.4075,0.4197,0.0014,0.4086,0.0009,-2.7475,23.3223,7.5225,0.005,24.5293,0.0188,0.0003,3,3.7
